"","authors","title","Published.Year","journal","DOI","abstract"
"11","Nagy, P.","Effect of an artificial metal pollution on nematode assemblage of a calcareous loamy chernozem soil",1999,"Plant and Soil","10.1023/a:1004657924496","Heavy metal pollution in soils constitutes an acute problem threatening various groups of living organisms. Nematode samples were taken in the framework of a complex food-chain experiment which is being carried out after artificially contaminating a part of an agrobiotope. The 13 heavy metals and microelements involved in the study are the following: Al, As, Ba, Cd, Cr, Cu, Hg, Mo, Ni, Pb, Se, Sr, and Zn. Parallel plots receiving maximum concentrations equal to approx. 270 ppm were sampled twice during a complete vegetation period of winter wheat. Nematode abundance and richness as well as Maturity Index data revealed that Se and Cr had significantly negative effects on assemblages, while Zn appeared to have a generally positive influence on these parameters. Impacts by the other elements are less obvious or quite neutral (like that of Al). Favorable soil conditions and time elapsed (over 5 years) since the contamination, both resulting in a decrease of available element concentrations, may account for the not very pronounced effects."
"12","Murvanidze, M.; Mumladze, L.; Arabuli, T.; Kvavadze, E.","ORIBATID MITE COLONIZATION OF SAND AND MANGANESE TAILING SITES",2013,"Acarologia","10.1051/acarologia/20132089","We studied the colonization patterns of oribatid mites on post-industrial sand and manganese tailing sites, reclaimed areas, natural meadows and forests in the Chiatura region. A total of 89 species were recorded. In forests, the total number of species was high and the oribatid community was made up mainly of forest-specific species. Scheloribates laevigatus (Koch, 1835) predominated in dumps and reclaimed sites, whereas its abundance was lower in meadows and minor in forests. Tectocepheus velatus sarekensis Tragardh, 1910 and Scheloribates latipes (Koch, 1844) were numerous in dumps and meadows, but their abundance was low in forests. Punctoribates punctum (Koch, 1839), however, was found in high densities only at dump sites. Detrended correspondence analyses and hierarchical cluster analyses show that oribatid mites of dump habitats grouped together with those of reclaimed and meadow sites, indicating high faunal similarity and low richness, whereas the forest inhabiting oribatid community was much more diverse. The results of our studies indicate that colonization of dumps is mainly by species of wide ecological preferences."
"13","Moldenke, A. R.; Thies, W. G.","Effect on soil arthropods 1 year after application of chloropicrin to control laminated root rot .3. Treatment effects on nontarget soil invertebrates",1996,"Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","10.1139/x26-013","Soil arthropods were observed as nontarget bioindicators of chloropicrin fumigation used to control Phellinus in Douglas-fir (Pseudotsuga menziesii (Mirb.) France) forests of Washington. Three dosages were investigated: 100% and 20% labeled dosages and a 0% control. Area-wide random samples from treated regions revealed few statistically significant (ANOVA, p < 0.05) shifts in abundance of functional guilds (one of eight). Treatment responses were shown by 23 species, a similar number decreased or increased along with increasing dosage. Stump-centered samples (0.5-2.0 m from trunk; ''worst case scenarios'') revealed significant changes (p < 0.05) in six of eight functional guilds of soil arthropods; most guilds were more abundant in the control and least abundant under 20% labeled dosage. Many common fungivorous oribatid mite species (20 of 63) showed significant stump-centered responses but most springtails (Collembola; 13 of 15) did not. Ordination analyses of random samples showed no area-wide effect of treatment dosage, whereas stump-centered samples revealed that the species compositions of treated versus nontreated communities of predaceous mites, oribatid mites, and endeostigmatid mites were distinct."
"14","Miyazawa, K.; Tsuji, H.; Yamagata, M.; Nakano, H.; Nakamoto, T.","The effects of cropping systems and fallow managements on microarthropod populations",2002,"Plant Production Science","10.1626/pps.5.257","The response of microarthropod populations to different combinations of conservational agricultural practices was investigated in two field experiments. In the first experiment, cropping systems with combinations of tillage (conventional or reduced), biocide application (conventional or reduced), and fertilization (chemical or cattle manure compost) were compared. In the second experiment, five treatments including four fallow Managements that received different levels of tillage, biocide, and organic matter input from vegetation were compared. The springtail (Collembola) population was higher with less tillage, less biocide application, and more organic matter input in both experiments, and these effects were additive; there was no specific combination of practices that has an interacting effect. The mite (Acari) population was also higher under most conservational treatments, and a significant interaction effect between tillage and organic matter application was found. A large increase in the Acari population under the combination of reduced tillage and higher organic matter input suggested that beneficial effects of these practices on the Acari community could be increased by integrating these practices. There was no significant correlation between the microarthropod populations and plant cover or soil chemical/physical properties measured. Slight changes in soil environments caused by agricultural practices may affect microarthropod communities substantially even before the changes in soil properties become detectable."
"15","Mirmonsef, H.; Hornum, H. D.; Jensen, J.; Holmstrup, M.","Effects of an aged copper contamination on distribution of earthworms, reproduction and cocoon hatchability",2017,"Ecotoxicology and Environmental Safety","10.1016/j.ecoenv.2016.10.012","Contaminated soil is a problem throughout the industrialized world, and a significant proportion of these sites are polluted with heavy metals such as copper. Ecological risk assessment of contaminated sites requires ecotoxicological studies with spiked soils as well as in-situ ecological observations. Here, we report laboratory and field assessment of copper toxicity for earthworms at a Danish site (Hygum) exclusively contaminated with an increasing gradient in copper from background to highly toxic levels ( > 1000 mg kg(-1) dry soil). More specifically, we report effects on field populations, body contents of copper, hatching of earthworm cocoons and reproduction of the common species Aporrectodea tuberculata. Abundance of earthworms and cocoons decreased significantly from about 400-150 m(-2) along the gradient as the soil copper concentration increased from ca. 50 to ca. 1000 mg kg(-1). At lower concentrations, the population was dominated by endogeic species, whereas at high concentrations the population was dominated by epigeic species. At high copper contents the internal concentration of copper was in the range 100-160 mg kg(-1) dry tissue. Despite the high internal copper contents, hatchability of field collected cocoons was not impaired in any species. The EC50 reproduction value of A. tuberculata was about 220 mg copper kg(-1) dry soil in the first two exposure periods, but nearly doubled in the third period suggesting that an acclimation response had occurred. Also in the laboratory reproduction test, cocoon hatchability was not reduced, but rather slightly stimulated by copper. Based on these results we discuss the possibility that acute exposure in laboratory experiments is more detrimental than exposure in a field situation, perhaps because increased tolerance may be acquired through natural selection and genetic adaptation through increased use of defense mechanisms such as metallothioneins. Further, we discuss that the rather high tissue copper level of earthworms from the Hygum site may have smaller effects in these free ranging worms than it would have in acute-exposure laboratory tests because the copper is more efficiently sequestered and detoxified in the field situation where populations have been exposed for many generations."
"16","Minor, M. A.; Volk, T. A.; Norton, R. A.","Effects of site preparation techniques on communities of soil mites (Acari : Oribatida, Acari : Gamasida) under short-rotation forestry plantings in New York, USA",2004,"Applied Soil Ecology","10.1016/j.apsoil.2003.10.002","To address the question of how production of woody biomass crops on retired agricultural land will affect soil biodiversity, we investigated the effects of site preparation techniques associated with production of willow (Salix sp.) on the abundance, species diversity and community structure of two groups of mites (Oribatida and Gamasida). The effects of tillage, herbicide application, cover crop and mode of planting were evaluated in a 4 year-long replicated field experiment. Twenty-eight species of Oribatida and 35 species of Gamasida were represented in willow plantings. The predaceous Gamasida had more pronounced changes in abundance and diversity in response to the site preparation treatments than saprophagous and mycophagous Oribatida. Results indicated that (1) soil cultivation had negative effects on the abundance and diversity of soil mites during the first year of the experiment, later superceded by other factors; (2) the use or lack of tillage contributed to differences in mite community structure; and (3) following the initial disturbances, the abundance and diversity of soil mites increased in all treatments up to the end of the experiment. The success or failure of the willow crop and the changes in soil environments created by the different plant communities could explain the differences in soil mite populations among treatments best, especially 2 and 3 years after the beginning of the experiment. (C) 2003 Elsevier B.V. All fights reserved."
"17","Minor, M. A.; Norton, R. A.","Effects of weed and erosion control on communities of soil mites (Oribatida and Gamasina) in short-rotation willow plantings in central New York",2008,"Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","10.1139/x07-207","Several pre-emergent herbicides (azafenidin, oxyfluorfen, and imazaquin-pendimethalin mixture), used for weed control during the establishment of short-rotation willow plantings, were tested for their impact on population density, species richness, and community structure of predaceous (Gamasina) and saprophagous and (or) mycophagous (Oribatida) soil mites. The experimental control was hand-weeded (no herbicide). Two site preparation treatments were used: conventional (disked) and erosion controlled (no-till with cover crop of winter rye). The influence of herbicide application on non-target organisms (soil mites) cannot be generalized, with groups being differentially affected. Overall, Oribatida were most affected by herbicides. Among specific herbicides, azafenidin and oxyfluorfen had a negative effect on density and species richness of soil mites. The response of Oribatida and Gamasina to herbicides was species-specific. Two species of Oribatida (Sellnickochthonius immaculatus (Forsslund) and Liochthonius lapponicus (Tragardh)) declined significantly in all herbicide-treated plots. The cover crop residue had positive effect on both Oribatida and Gamasina; the negative effect of herbicides on Oribatida was greatly mitigated by cover crop. Herbicides appear to reduce mite diversity and alter community structure, but they do not always affect abundance. We speculate that the sensitivity of Oribatida to herbicides can reflect the indirect impacts of herbicides on soil microflora. ."
"18","Andersen, L.; Kuhn, B. F.; Bertelsen, M.; Bruus, M.; Larsen, S. E.; Strandberg, M.","Alternatives to herbicides in an apple orchard, effects on yield, earthworms and plant diversity",2013,"Agriculture Ecosystems & Environment","10.1016/j.agee.2013.04.004","In a newly established apple orchard eight alternative methods to weed control in the tree row were compared to a herbicide treatment with respect to effects on tree growth, first-quality fruit yield, earthworms and flora. All treatments were tested at two irrigation schedules, with similar amount of water at a daily or weekly basis. In general, daily irrigation reduced first-quality fruit yield compared to weekly irrigation. Mulching with black polypropylene (MyPex (R)) and rape straw had a positive effect on first-quality yield and shoot growth, only black polypropylene, compared to herbicide treatment, whereas mulching with paper wool reduced first-quality fruit yield compared to herbicide treatment. Cover crop as tagetes and weed harrowing had similar yield as herbicide treatment, whereas cover crops as grass and hop medick and weed cutting reduced first-quality yield compared to herbicide treatment. Earthworms thrived under rape straw contrary to under black polypropylene and plots with weed harrowing. Treatments had significant effects on species numbers of plants both years, and total vegetation cover generally increased in the second year. Rape straw supported a high production of apples and a large stock of earthworms; however, its support of wild flora is poor, when it is taken into account that a large proportion of the flora in the rape straw was rape established from seeds left with the straw. (c) 2013 Elsevier B.V. All rights reserved."
"19","Neher, D. A.; Olson, R. K.","Nematode communities in soils of four farm cropping management systems",1999,"Pedobiologia","","Nematode community composition was compared for four farm cropping management systems near Ithaca, Nebraska, USA. Management systems differed in their source of nutrients and pest management, and were designated as manure only (O), mineral fertilizer only (F), mineral fertilizer plus herbicides (KF), and mineral fertilizer, herbicides plus insecticides (HFI). All farming systems were cultivated annually and planted to annual crops either in rotation (O, F, HF systems) or continuous corn (HFI system), Eleven nematode community (plant-parasites and free-living) and four microbial biomass indices were measured in 1993, 18 years after establishment of management practices. Numbers of bacterivores and plant-parasites and maturity index (PPI and PPI:MI) values were greater, and MI1-5 values smaller, with manure than mineral fertilizer applications, MI2-5 values decreased with additions of herbicides and/or insecticides but were not sensitive to source of nutrients. Total fungal biomass and active bacterial biomass were associated positively with application of insecticides. Numbers of Pratylenchus increased and Cephalobus decreased with applications of manure compared to mineral fertilizers. Numbers of Helicotylenchus decreased with additions of mineral fertilizer, herbicides and insecticides but Monhystera and Mylonchulus abundance increased with insecticide applications. This study demonstrates differential effects of pesticides and nutrient source on nematode community composition."
"20","Amosse, J.; Bart, S.; Pery, A. R. R.; Pelosi, C.","Short-term effects of two fungicides on enchytraeid and earthworm communities under field conditions",2018,"Ecotoxicology","10.1007/s10646-018-1895-7","Because of the wide use of pesticides in agriculture, there is still a need of higher-tier field studies to assess ecotoxicological effects of commercial formulations on a wider variety of non-target soil organisms such as soil annelids. We here tested the effects of different concentrations of two fungicide formulations, i.e., Cuprafor Micro(A (R)) (composed of 500 g kg(-1) copper oxychloride) and Swing Gold(A (R)) (composed of 50 g l(-1) epoxiconazole and 133 g l(-1) dimoxystrobin) on two families of terrestrial oligochaetes (Lumbricidae and Enchytraeidae) after 1 month of exposure. We also assessed the feeding activity of soil organisms using the bait lamina method. Along with the feeding activity, the enchytraeid density, diversity and communities were not different in the control and the contaminated plots. By contrast, epigeic earthworms were absent and earthworm diversity and densities of anecic species decreased significantly in the plots contaminated at ten times the recommended dose of the Swing Gold(A (R)) formulation. The copper fungicide (at 0.75 and 7.5 kg Cu ha(-1)) and the treatment with the pesticide mixture (Cuprafor Micro(A (R)) at 0.75 kg Cu ha(-1) and Swing Gold(A (R)) at the recommended dose) did not affect Oligochaeta communities compared with the control, except the Shannon index for earthworms in the mixture of both fungicides. Responses of the two annelid families to the tested pesticides were different with higher effects observed on the diversity and the community structure of earthworms compared with enchytraeids. This study allowed detecting early changes on oligochaete populations after pesticide application."
"21","Migliorini, M.; Pigino, G.; Caruso, T.; Fanciulli, P. P.; Leonzio, C.; Bernini, F.","Soil communities (Acari Oribatida; Hexapoda Collembola) in a clay pigeon shooting range",2005,"Pedobiologia","10.1016/j.pedobi.2004.06.009","Clay pigeon shooting ranges can be an important source of heavy metal contamination in terrestrial ecosystems. The pellets contained in spent ammunition are mainly composed of lead (Pb) and antimony (Sb). Total concentrations of these metals were measured in soils from seven sampling sites within a clay pigeon shooting range and compared with two controls to investigate the effects of their increased levels on the oribatid mites and Collembola community. We found that the spatial distribution of Pb and Sb contamination in the fall-out area is strongly related to the flight path of pellets. Oribatid and Collembola communities are able to survive at levels of heavy metals far higher than the lethal concentration for the most tolerant plants but oribatid mites seem to be affected by heavy metals more than springtails. Collembola and oribatid mites exhibit a wide range of responses to disturbance and many species are more strongly influenced by microhabitat characteristics than Levels of pollution. The effects of annual cultivations conducted in the shooting range and those of heavy metal pollution result in a simplification and homogeneity of community composition. Among arthropods, oribatid mites and springtails have a great potential as bioindicators of environmental conditions; the issue remains as to whether differences in population structure can be used to determine the type of disturbance. (C) 2004 Elsevier GmbH. All rights reserved."
"22","Migliorini, M.; Pigino, G.; Bianchi, N.; Bernini, F.; Leonzio, C.","The effects of heavy metal contamination on the soil arthropod community of a shooting range",2004,"Environmental Pollution","10.1016/j.envpol.2003.09.025","Soils in clay pigeon shooting ranges can be seriously contaminated by heavy metals. The pellets contained in ammunition are composed of Pb, Sb, Ni, Zn, Mn and Cu. The total concentrations of these metals in soils, and the effects of their increasing levels on the arthropod community were investigated at seven sampling sites in a clay pigeon shooting range and compared with two controls. Research revealed that the spatial distribution of Pb and Sb contamination in the shot-fall area was strongly correlated with the flight path of the pellets. Ordination obtained through Redundance Analysis showed that Collembola, Protura and Diplura were positively correlated with major detected contaminants (Pb, Sb), while Symphyla showed a negative correlation with these pollutants. Determination of the soluble lead fraction in soil, and of its bioaccumulation in the saprophagous Armadillidium sordidum (Isopoda) and the predator Ocypus olens (Coleoptera), showed that a significant portion of metallic Pb from spent pellets is bioavailable in the soil and can be bioaccumulated by edaphic organisms, entering the soil trophic network, but without biomagnification. (C) 2003 Elsevier Ltd. All rights reserved."
